Time,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ,TemperatureMPU,Pressure,Humidity,Gas,BME_Temperature,UV_Voltage,UV_Index,Longitude,Latitude,datatime,speed,AltitudeGPS,AltitudeBME,AccelerationAbsolute,GyroscopeAbsolute
143470,2.33913517,-0.385466486,8.154650688,0.00106585,0.193584993,-0.20157887,21.70647049,991.2800293,38.30812836,161.076004,18.99118423,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.492259157530404,0.27948224698808594
143934,2.322375536,-0.354341865,8.195352554,-0.142690659,-0.005462481,-0.002531394,21.70647049,991.2800293,38.30812836,161.076004,18.99118423,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.52542021086687,0.14281761383006256
144404,2.363077164,-0.299275219,8.451532364,-0.050894335,-0.007727412,0.069413476,21.84764671,991.2800293,38.30812836,161.076004,18.99118423,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.780780070099992,0.086418614208471
145662,2.298433542,-0.387860686,8.219294548,-0.034240428,-0.044765696,-0.030243492,21.75352859,991.2800293,38.29376221,161.2310028,18.95999527,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.54342059865471,0.06396126371751627
146134,2.398990154,-0.320823014,8.159439087,-0.237950996,0.015987748,-0.113912709,21.80058861,991.2800293,38.29376221,161.2310028,18.95999527,0.041935485,0.419354856,0,0,0,0,0,25899.4043,8.510847629922909,0.26429602693801924
146603,2.310404539,-0.354341865,8.274360657,-0.054624807,-0.133098006,-0.048629403,21.80058861,991.2800293,38.29376221,161.2310028,18.95999527,0.041935485,0.419354856,0,0,0,0,0,25899.4043,8.598172571729005,0.1518675988389218
147864,2.284068346,-0.328005642,8.36294651,-0.137894332,0.195716694,-0.077540584,21.84764671,991.3099976,38.29085159,162.6459961,18.98771667,0.041935485,0.419354856,0,0,0,0,0,25899.33398,8.67544985804795,0.2516593198653229
148334,2.375048161,-0.260968,8.295908928,-0.016520673,-0.128035218,0.041434918,21.70647049,991.3099976,38.29085159,162.6459961,18.98771667,0.041935485,0.419354856,0,0,0,0,0,25899.33398,8.633137494895097,0.13558319259534782
148802,2.284068346,-0.318428814,8.197746277,-0.031042879,0.059154671,0.056223582,21.65941238,991.3099976,38.29085159,162.6459961,18.98771667,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.51595027820454,0.0873156721936996
150062,2.389413357,-0.287304193,8.197746277,-0.061419602,-0.050228179,0.008926493,21.84764671,991.2999878,38.25275421,162.0140076,19.001894,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.543704343666905,0.07984309458414982
150531,2.466027737,-0.478840351,8.899248123,-0.080871366,-0.074343033,0.034773353,21.75352859,991.2999878,38.25275421,162.0140076,19.001894,0.038709678,0.387096763,0,0,0,0,0,25899.33398,9.247010221477977,0.115222612681746
150999,2.463633537,-0.344765037,8.259995461,-0.044232771,0.099790201,-0.104453288,21.70647049,991.2999878,38.25275421,162.0140076,19.001894,0.038709678,0.387096763,0,0,0,0,0,25899.33398,8.62646382656934,0.15107981870511292
152258,2.387019157,-0.541089594,8.382100105,0.172534451,-0.021716693,0.223029092,21.70647049,991.289978,38.24140549,164.5709991,18.94392776,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.732138373552097,0.282810408958143
152727,2.243366957,-0.457292527,8.245630264,-0.497885138,0.067015313,0.278186828,21.70647049,991.289978,38.24140549,164.5709991,18.94392776,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.557583199104885,0.5742547989268079
153195,2.525882721,-0.124498487,7.821856976,-0.039702907,0.179595709,-0.228624806,21.75352859,991.289978,38.24140549,164.5709991,18.94392776,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.220524919158844,0.29342842642457284
154455,2.032677174,-0.258573771,8.552088737,0.280185282,-0.028644716,-0.041568145,21.65941238,991.2800293,38.23715591,164.5709991,18.90076828,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.794137743649006,0.28469672053411715
154925,2.379836559,-0.454898328,8.209717751,-0.538787127,-0.222229704,0.212104142,21.75352859,991.2800293,38.23715591,164.5709991,18.90076828,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.559790890404662,0.6202142989438392
155395,2.260126352,-0.021547815,8.281543732,0.219165385,0.30643183,-0.401159286,21.65941238,991.2800293,38.23715591,164.5709991,18.90076828,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.584439528610156,0.550329633186672
156652,2.432508945,-0.833182216,8.192957878,-0.018785605,-0.061952524,0.230090365,21.65941238,991.2800293,38.27820587,165.5500031,18.91651917,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.58695820202043,0.23902424615720436
157123,2.272097349,-0.038307227,8.267178535,-0.258335382,-0.233554363,0.06461715,21.75352859,991.2800293,38.27820587,165.5500031,18.91651917,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.573805149205223,0.35420359419907665
157593,2.245761156,-0.430956304,8.317456245,0.24567841,0.21503523,-0.292042881,21.70647049,991.2800293,38.27820587,165.5500031,18.91651917,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.626079346565582,0.4380491703268723
158851,2.458845139,-0.543483794,8.264783859,-0.378776401,-0.067148544,0.266462475,21.65941238,991.289978,38.27611923,165.7140045,18.89541245,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.63990429853893,0.46795591619185495
159321,2.209848166,-0.426167905,8.056488991,-0.099790201,-0.031842265,-0.151617154,21.65941238,991.289978,38.27611923,165.7140045,18.89541245,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.364930535403738,0.1842817827214897
159791,2.279279947,-0.59615624,8.233659744,0.222629398,-0.069147013,-0.039303213,21.61235237,991.289978,38.27611923,165.7140045,18.89541245,0.038709678,0.387096763,0,0,0,0,0,25899.36914,8.564092019546113,0.23641044988068516
161050,2.157175779,-0.177170932,8.121131897,-0.380774885,-0.160943344,0.150151595,21.65941238,991.2700195,38.30049133,165.0590057,18.91368294,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.404616598579665,0.43981561421317183
161521,2.389413357,-0.347159237,8.224082947,-0.045831546,0.349865228,-0.297505349,21.65941238,991.2700195,38.30049133,165.0590057,18.91368294,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.571193385146588,0.46153617524074303
161992,2.456450939,-0.158017308,8.252813339,-0.122705974,-0.058488514,0.237551302,21.61235237,991.2700195,38.30049133,165.0590057,18.91368294,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.612087359851726,0.27369377670511996
163252,2.322375536,-0.354341865,8.525752068,-0.050094947,-0.33973965,0.083535992,21.56529427,991.2700195,38.3052063,166.875,18.90423203,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.843496741250558,0.353427213802898
163717,2.226607561,-0.304063618,8.310274124,-0.021183766,0.213836133,-0.226493105,21.65941238,991.2700195,38.3052063,166.875,18.90423203,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.608768316694182,0.31220789600981824
164183,2.351106167,-0.459686726,8.252813339,-0.176664621,0.007327718,0.07087902,21.61235237,991.2700195,38.3052063,166.875,18.90423203,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.59348242000543,0.19049388242230134
165436,2.365471363,-0.385466486,8.252813339,-0.034240428,-0.145621747,0.053958651,21.56529427,991.2800293,38.28573227,167.8820038,18.82106209,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.59377490916411,0.15902715531221387
165906,2.33913517,-0.450109929,8.271966934,-0.015321592,-0.009859112,-0.076607957,21.65941238,991.2800293,38.28573227,167.8820038,18.82106209,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.60811182832244,0.07874472900808573
166376,2.303221941,-0.328005642,8.236053467,-0.211704448,0.020917306,0.010392036,21.61235237,991.2800293,38.28573227,167.8820038,18.82106209,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.558329026274366,0.21298897014988272
167634,2.291250944,-0.328005642,8.221688271,-0.022782542,-0.026246555,-0.07500919,21.51823616,991.2700195,38.31850433,168.3899994,18.86737251,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.541286590149268,0.08266985214578462
168105,2.22900176,-0.395043284,8.161833763,0.014921899,-0.000666156,-0.038104136,21.61235237,991.2700195,38.31850433,168.3899994,18.86737251,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.469949138995071,0.040927154969396945
168575,2.372653961,-0.430956304,8.185775757,-0.058621746,0.062751912,-0.023448698,21.61235237,991.2700195,38.31850433,168.3899994,18.86737251,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.533588629556458,0.08901771172996678
